id,name,category,price,quantity,created_date,manufacturer,in_stock
1,Widget A,Electronics,29.99,100,2024-01-15,TechCorp,true
2,Gadget B,Electronics,49.99,50,2024-01-16,GadgetPro,true
3,Tool C,Hardware,19.99,200,2024-01-17,ToolMaster,true
4,Supply D,Office,9.99,500,2024-01-18,OfficeEssentials,true
5,Device E,Electronics,79.99,25,2024-01-19,DeviceMaker,true
6,Material F,Hardware,14.99,150,2024-01-20,MaterialCo,true
7,Accessory G,Electronics,12.99,300,2024-01-21,AccPro,true
8,Component H,Hardware,24.99,75,2024-01-22,CompTech,true
9,Item I,Office,7.99,400,2024-01-23,OfficeBasics,true
10,Product J,Electronics,39.99,80,2024-01-24,ProdMaker,true
11,Part K,Hardware,17.99,120,2024-01-25,PartSource,true
12,Supply L,Office,11.99,250,2024-01-26,SupplyPlus,true
13,Gadget M,Electronics,59.99,40,2024-01-27,GadgetPro,false
14,Tool N,Hardware,22.99,90,2024-01-28,ToolMaster,true
15,Widget O,Electronics,34.99,60,2024-01-29,TechCorp,true
16,Equipment P,Hardware,45.99,45,2024-01-30,EquipPro,true
17,Supply Q,Office,15.99,180,2024-01-31,OfficeEssentials,true
18,Device R,Electronics,99.99,15,2024-02-01,DeviceMaker,false
19,Component S,Hardware,28.99,95,2024-02-01,CompTech,true
20,Accessory T,Electronics,18.99,220,2024-02-02,AccPro,true
21,Tool U,Hardware,21.99,65,2024-02-03,ToolMaster,true
22,Widget V,Electronics,44.99,55,2024-02-04,TechCorp,true
23,Item W,Office,13.99,350,2024-02-05,OfficeBasics,true
24,Product X,Electronics,54.99,70,2024-02-06,ProdMaker,true
25,Part Y,Hardware,16.99,110,2024-02-07,PartSource,true
26,Supply Z,Office,8.99,280,2024-02-08,SupplyPlus,true
27,Gadget AA,Electronics,64.99,35,2024-02-09,GadgetPro,true
28,Tool BB,Hardware,26.99,85,2024-02-10,ToolMaster,true
29,Widget CC,Electronics,39.99,90,2024-02-11,TechCorp,true
30,Device DD,Electronics,119.99,20,2024-02-12,DeviceMaker,true
